"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.098576501E1,4.052904621E-2,5.179548740E0,4.338006496E0
5.100176501E1,7.704637051E-1,5.340822220E0,4.445735931E0
5.101776501E1,9.761639237E-1,5.481429100E0,4.790740013E0
5.103376501E1,8.859599829E-1,5.828080654E0,4.625185966E0
5.104976501E1,4.408299923E-1,6.315702915E0,3.846122265E0
5.106576501E1,-3.926490843E-1,6.920009136E0,3.157291174E0
5.108176501E1,-1.436473131E0,7.291014671E0,2.704844475E0
5.109776501E1,-2.291155338E0,6.954715252E0,2.210997343E0
5.111376501E1,-2.608846664E0,6.763715267E0,1.342907667E0
5.112976501E1,-2.499316692E0,6.929930687E0,9.996462464E-1
5.114576501E1,-2.869422197E0,7.383928776E0,7.384005189E-1
5.116176501E1,-3.564439774E0,8.671904564E0,-3.302274346E-1
5.117776501E1,-4.210682392E0,1.058644104E1,-1.468679905E0
5.119376501E1,-4.494730473E0,1.217710114E1,-1.971768856E0
5.120976501E1,-4.459411144E0,1.231522751E1,-2.279883385E0
5.122576501E1,-4.791171074E0,1.084119415E1,-2.678891420E0
5.124176501E1,-5.532071114E0,8.859148979E0,-2.990338802E0
5.125776501E1,-6.407266617E0,8.089423180E0,-3.390476704E0
5.127376501E1,-6.954926491E0,8.959294319E0,-4.063429356E0
5.128976501E1,-6.941508770E0,1.068441200E1,-4.528824329E0
5.130576501E1,-6.448868752E0,1.180707264E1,-4.359534740E0
5.132176501E1,-5.327031612E0,1.192546082E1,-3.784399748E0
5.133776501E1,-4.498120785E0,1.120647240E1,-3.278629303E0
5.135376501E1,-4.558004379E0,1.032647991E1,-2.904664516E0
5.136976501E1,-4.856149673E0,9.974062920E0,-2.762190342E0
5.138576501E1,-4.818656921E0,9.957303047E0,-2.290140152E0
5.140176501E1,-3.810841322E0,9.912895203E0,-1.817256570E0
5.141776501E1,-3.061896801E0,9.088877678E0,-1.642001033E0
5.143376501E1,-2.885376930E0,8.026350975E0,-1.545390129E0
5.144976501E1,-2.982514381E0,7.397843838E0,-1.382996202E0
5.146576501E1,-2.886669874E0,7.368826389E0,-1.331415534E0
5.148176501E1,-2.430641413E0,7.444444180E0,-1.230897427E0
5.149776501E1,-1.969479799E0,7.016236782E0,-8.897427917E-1
5.151376501E1,-1.838919282E0,6.237144470E0,-6.907175779E-1
5.152976501E1,-1.912239432E0,5.630721569E0,-7.465120554E-1
5.154576501E1,-1.999685168E0,5.584829807E0,-9.451446533E-1
5.156176501E1,-1.875081301E0,6.417111874E0,-1.084218979E0
5.157776501E1,-1.528946757E0,7.292364597E0,-9.311529398E-1
5.159376501E1,-1.437564969E0,6.958756924E0,-6.793594956E-1
5.160976501E1,-1.637662768E0,5.825026035E0,-6.264093518E-1
5.162576501E1,-2.036565542E0,5.269733906E0,-7.275787592E-1
5.164176501E1,-2.585488796E0,5.972278595E0,-8.553524613E-1
5.165776501E1,-2.997348785E0,7.449711800E0,-7.126772404E-1
5.167376501E1,-3.128235102E0,8.419670105E0,-5.778357983E-1
5.168976501E1,-2.947367668E0,8.263874054E0,-3.681228757E-1
5.170576501E1,-3.004503012E0,7.730609417E0,2.515827119E-2
5.172176501E1,-3.440793514E0,7.734124184E0,5.908219814E-1
5.173776501E1,-3.945519924E0,8.498295784E0,8.869464397E-1
5.175376501E1,-4.213076591E0,9.153090477E0,8.812865019E-1
5.176976501E1,-4.057175636E0,9.136350632E0,1.112087488E0
5.178576501E1,-3.720359564E0,9.060004234E0,1.547640800E0
5.180176501E1,-3.551721573E0,9.451178551E0,1.906933665E0
5.181776501E1,-3.534818649E0,9.857666016E0,2.376206875E0
5.183376501E1,-3.615158558E0,1.022251320E1,2.740604401E0
5.184976501E1,-2.881603718E0,1.049863148E1,3.324799061E0
5.186576501E1,-1.866270661E0,1.024612045E1,4.107003689E0
5.188176501E1,-8.366011381E-1,1.020937443E1,4.734802246E0
5.189776501E1,-5.716300011E-1,1.062169456E1,5.385172367E0
5.191376501E1,-1.223858356E0,1.142094517E1,5.704118729E0
5.192976501E1,-1.391979218E0,1.136174107E1,6.068285942E0
5.194576501E1,-7.119877338E-1,1.085099125E1,6.188590050E0
5.196176501E1,4.109216332E-1,1.116745663E1,6.407371998E0
5.197776501E1,1.299256563E0,1.238884449E1,7.108365536E0
5.199376501E1,1.942128539E0,1.347051620E1,7.994248867E0
5.200976501E1,2.899742126E0,1.408339310E1,8.047830582E0
5.202576501E1,4.536322594E0,1.429737759E1,8.001604080E0
5.204176501E1,5.955193996E0,1.396366405E1,8.108175278E0
5.205776501E1,6.145791531E0,1.306694889E1,8.201959610E0
5.207376501E1,6.498323441E0,1.218675518E1,8.163327217E0
5.208976501E1,7.874443531E0,1.208613110E1,8.036023140E0
5.210576501E1,9.553420067E0,1.211610603E1,7.906448841E0
5.212176501E1,1.034867859E1,1.166252041E1,8.106144905E0
5.213776501E1,9.660718918E0,1.125997829E1,7.881261826E0
5.215376501E1,9.488853455E0,1.045393658E1,7.754809380E0
5.216976501E1,9.644112587E0,8.787553787E0,7.584534168E0
5.218576501E1,9.690110207E0,7.547567844E0,7.328402519E0
5.220176501E1,9.433317184E0,6.596437454E0,7.661531925E0
5.221776501E1,8.013776779E0,6.334712982E0,7.166142464E0
5.223376501E1,6.275892258E0,6.118995190E0,5.904877186E0
5.224976501E1,4.671844006E0,4.558559895E0,5.184241772E0
5.226576501E1,3.806608438E0,3.176444769E0,4.763724327E0
5.228176501E1,3.930580139E0,2.073014736E0,4.610801697E0
5.229776501E1,4.537826061E0,1.829189181E0,4.755918980E0
5.231376501E1,4.403999805E0,1.853102565E0,4.808677673E0
5.232976501E1,4.618979931E0,1.735144973E0,5.127757549E0
5.234576501E1,5.068860531E0,1.720961809E0,5.084413052E0
5.236176501E1,5.520359039E0,1.387660146E0,4.995032787E0
5.237776501E1,5.789668083E0,6.670533419E-1,5.342153549E0
5.239376501E1,5.664269447E0,1.570500433E-1,5.439722061E0
5.240976501E1,5.855805874E0,-2.265968323E-1,5.034776211E0
5.242576501E1,5.566183567E0,-4.630864859E-1,4.036777496E0
5.244176501E1,5.136251926E0,-6.473921537E-1,4.002521038E0
5.245776501E1,5.477128983E0,-8.622956276E-1,4.397315502E0
5.247376501E1,6.727055550E0,-1.278522849E0,5.039152622E0
5.248976501E1,7.494684696E0,-1.297015667E0,4.902328968E0
5.250576501E1,7.775802135E0,-1.519523144E0,5.030840397E0
5.252176501E1,7.181139469E0,-2.003573418E0,4.639981747E0
5.253776501E1,6.844285011E0,-1.766786695E0,4.490928650E0
5.255376501E1,7.105090141E0,-1.751578808E0,4.609230995E0
5.256976501E1,7.156881809E0,-1.576093435E0,4.575951576E0
5.258576501E1,6.726978779E0,-1.718519688E0,4.630022049E0
5.260176501E1,6.230507851E0,-1.440591216E0,4.523077965E0
5.261776501E1,6.688432217E0,-1.230399370E0,4.349948406E0
5.263376501E1,7.466911793E0,-2.150969982E0,4.599807262E0
5.264976501E1,7.787227154E0,-2.673691273E0,4.767592907E0
5.266576501E1,7.634218693E0,-3.064444065E0,4.661836624E0
5.268176657E1,7.333305836E0,-3.134326220E0,4.734802246E0
5.269776501E1,7.068286419E0,-3.154791832E0,4.841162205E0
5.271376501E1,6.973112106E0,-3.495486498E0,4.782082558E0
5.272976501E1,6.991097450E0,-3.782522678E0,4.668923378E0
5.274576501E1,7.325127125E0,-4.110987663E0,4.815151215E0
5.276176501E1,7.337682247E0,-4.501559258E0,4.919998646E0
5.277776501E1,7.369774342E0,-4.557420254E0,5.081520557E0
5.279376501E1,7.407295704E0,-4.159283638E0,5.126828671E0
5.280976501E1,7.437060833E0,-4.010699749E0,5.275776863E0
5.282576501E1,7.275643349E0,-4.002119064E0,5.455744267E0
5.284176501E1,7.343907356E0,-3.682866573E0,5.413816929E0
5.285776501E1,7.266258240E0,-3.172662020E0,5.525511265E0
5.287376501E1,7.168632507E0,-2.869374037E0,5.441675663E0
5.288976501E1,6.963564396E0,-2.673413515E0,5.357878208E0
5.290576501E1,6.679075718E0,-2.399095535E0,5.248846531E0
5.292176501E1,6.462304592E0,-1.963187933E0,5.280957699E0
5.293776501E1,6.298177242E0,-2.031020403E0,5.405561447E0
5.295376501E1,6.101172924E0,-2.051764011E0,5.453780651E0
5.296976501E1,6.332998753E0,-2.052443743E0,5.741813183E0
5.298576501E1,6.790358543E0,-2.596157551E0,5.879900932E0
5.300176501E1,7.014091969E0,-2.765178442E0,5.947608948E0
5.301776501E1,7.184960842E0,-2.748888493E0,6.058546543E0
5.303376501E1,7.153740883E0,-2.700391293E0,6.059542656E0
5.304976501E1,6.736441135E0,-3.238559961E0,6.040503979E0
5.306576501E1,6.704406261E0,-3.518068552E0,5.716606617E0
5.308176501E1,7.343370914E0,-3.740873098E0,5.460925102E0
5.309776501E1,7.981933117E0,-3.752231121E0,5.702078819E0
5.311376501E1,8.414450645E0,-3.723481655E0,5.863160610E0
5.312976501E1,8.618292809E0,-3.537978888E0,5.776212692E0
5.314576501E1,8.466912270E0,-3.397104025E0,5.517016411E0
5.316176501E1,8.032853127E0,-2.704231739E0,4.980514050E0
5.317776501E1,7.740655422E0,-2.057203293E0,4.140743256E0
5.319376501E1,7.541428566E0,-2.014155626E0,3.836363554E0
5.320976501E1,7.272971630E0,-2.115028381E0,3.537356377E0
5.322576501E1,7.581440926E0,-2.132429123E0,3.756856680E0
5.324176501E1,8.165750504E0,-1.774141669E0,3.981815815E0
5.325776501E1,8.602069855E0,-1.660848141E0,3.762938023E0
5.327376501E1,9.412018776E0,-1.703321338E0,3.405742407E0
5.328976501E1,1.025033379E1,-1.947434068E0,4.115498543E0
5.330576501E1,1.028718567E1,-1.877753258E0,4.545851707E0
5.332176501E1,1.055093098E1,-1.774802566E0,4.343330860E0
5.333776501E1,1.008069992E1,-1.209713459E0,2.684599161E0
5.335376501E1,8.025794983E0,-2.066291869E-1,1.447112918E0
5.336976501E1,6.165452480E0,-1.425986439E-1,1.974976897E0
5.338576501E1,5.075238228E0,-1.514572054E-1,2.526907444E0
5.340176501E1,4.499605179E0,9.280596375E-1,1.131087899E0
5.341776501E1,3.702135086E0,1.446356416E0,4.112089276E-1
5.343376501E1,3.246470451E0,1.618212104E0,3.085359812E0
5.344976501E1,4.252025604E0,1.693188906E0,4.663694382E0
