"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.767795741E0,-1.019091988E1,3.149064779E0,-3.542527914E0
2.783795741E0,-1.590803385E0,3.856321573E0,-1.664774656E0
2.799795741E0,1.750362515E0,1.269911385E1,5.730128765E0
2.815795741E0,9.405592918E0,2.689502525E1,9.488393784E0
2.831795741E0,7.048998833E0,2.887462807E1,6.062425137E0
2.847795741E0,-7.938330173E0,2.728604698E1,5.794610023E0
2.863795741E0,-1.769635963E1,2.623734856E1,3.931010962E0
2.879795741E0,-2.137267303E1,3.548441315E1,2.964960098E0
2.895795741E0,-1.748713493E1,4.125016022E1,5.409152985E0
2.911795741E0,-7.942610741E0,3.687879562E1,7.402651310E0
2.927795741E0,-4.250780582E0,3.064687347E1,9.982911110E0
2.943795741E0,-1.484682798E0,2.674167252E1,1.147060204E1
2.959795741E0,4.453147888E0,2.387247086E1,1.171362209E1
2.975795741E0,9.433011055E0,2.104238129E1,1.182552719E1
2.991795741E0,9.796163559E0,1.769602394E1,1.052250671E1
3.007795741E0,7.513818741E0,1.284552479E1,7.868735313E0
3.023795741E0,5.445794106E0,8.052926064E0,2.816567659E0
3.039795741E0,5.352113247E0,4.132708073E0,-2.225668907E0
3.055795741E0,6.279349804E0,1.318151712E0,-4.216256142E0
3.071795741E0,5.916254520E0,1.313008904E0,-3.907930851E0
3.087795741E0,3.488121986E0,4.180850506E0,-3.185724735E0
3.103795741E0,1.735346079E0,7.239807129E0,-4.128532887E0
3.119795741E0,1.355405450E-1,8.094221115E0,-5.518634796E0
3.135795741E0,-2.234987259E0,6.427914619E0,-5.548131466E0
3.151795741E0,-3.501903057E0,4.642634869E0,-3.741217852E0
3.167795741E0,-2.512686014E0,3.881192446E0,-1.668538332E0
3.183795741E0,-3.410300985E-2,3.783231497E0,-1.481560826E0
3.199797303E0,1.907096505E0,3.786286354E0,-1.894234896E0
3.215797303E0,2.199610710E0,4.429263592E0,-2.332804680E0
3.231797303E0,-7.336792350E-2,4.439290524E0,-2.024134874E0
3.247795741E0,-3.698438168E0,4.131616116E0,-2.777733564E0
3.263795741E0,-5.704731464E0,4.226235390E0,-2.821154833E0
3.279797303E0,-7.289855957E0,5.082947731E0,-2.035904646E0
3.295797303E0,-7.572687626E0,2.482442379E0,2.859509945E0
3.311797303E0,-4.243185997E0,-3.359543681E-1,6.973533630E0
3.327797303E0,-1.276483059E0,1.343913317E0,7.974339008E0
3.343797303E0,1.419953108E-1,1.936976194E0,1.209944344E1
3.359797303E0,2.728824854E0,-2.615943193E0,1.305393410E1
3.375797303E0,5.733146191E0,-8.220376968E0,8.661293030E0
3.391797303E0,3.847759724E0,-1.213499260E1,9.877241135E0
3.407797303E0,4.158651829E0,-1.912168312E1,1.318095207E1
3.423797303E0,8.643566132E0,-2.743097305E1,1.596708393E1
3.439797303E0,1.040778637E1,-3.218637466E1,1.577948475E1
