"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.624675944E0,3.713694096E0,7.007253766E-1,-3.736103773E-1
3.640675944E0,3.797060251E0,1.673355401E-1,-4.770877957E-1
3.656675944E0,3.606137037E0,-5.994601846E-1,-3.641389012E-1
3.672675944E0,3.685260534E0,-9.067704082E-1,-7.718906403E-1
3.688675944E0,3.600745440E0,-7.270041704E-1,-1.352254629E0
3.704675944E0,3.295542002E0,3.775177523E-2,-6.014139056E-1
3.720675944E0,1.930253267E0,2.569189310E0,1.119921446E0
3.736675944E0,-7.639418542E-2,8.595529556E0,3.737521172E0
3.752675944E0,1.278599501E-1,1.863073921E1,6.668014526E0
3.768675944E0,3.486015081E0,2.391302681E1,7.629104614E0
3.784675944E0,8.151491165E0,1.946241760E1,7.202266216E0
3.800675944E0,4.404613018E0,2.113814926E1,7.983829498E0
3.816675944E0,-6.465867043E0,2.951023102E1,1.147355080E1
3.832675944E0,-1.100032234E1,3.377716827E1,1.187919521E1
3.848675944E0,-7.824021339E0,2.950195694E1,9.473665237E0
3.864675944E0,-3.219732046E0,2.716494751E1,9.988887787E0
3.880675944E0,-2.519523621E0,2.427940750E1,9.968785286E0
3.896675944E0,-1.236777544E0,2.128901100E1,7.893950939E0
3.912675944E0,2.614276648E0,1.745999336E1,5.335219860E0
3.928675944E0,5.831470490E0,1.383912754E1,4.596924782E0
3.944675944E0,6.169129848E0,1.044110489E1,4.720034599E0
3.960675944E0,5.099879265E0,7.895655632E0,4.178322315E0
3.976675944E0,4.141671658E0,5.675272942E0,2.753715038E0
3.992675944E0,3.096718073E0,3.406815052E0,1.855362654E0
4.008675944E0,1.673001051E0,1.300118566E0,1.256831408E0
4.024675944E0,6.840808988E-1,6.797617674E-2,1.200692177E0
4.040675944E0,-1.435563415E-1,-4.485584795E-1,1.167853236E0
4.056675944E0,1.357033569E-2,-1.445427388E-1,7.782208920E-1
4.072675944E0,1.125533342E0,1.149427533E0,-2.845269442E-2
4.088675944E0,2.181280613E0,2.363948584E0,-2.930790186E-1
4.104675944E0,2.012987375E0,3.446539640E0,-5.229990482E-1
4.120675944E0,1.317701578E0,3.834859848E0,-6.488669515E-1
4.136675944E0,5.399020314E-1,3.605610371E0,-9.067799449E-1
4.152675944E0,3.782359958E-1,3.384558439E0,-1.094811082E0
4.168675944E0,6.624851823E-1,3.496032476E0,-1.527950764E0
4.184675944E0,1.328523278E0,4.113391399E0,-1.863464594E0
4.200675944E0,3.509353876E0,4.340639591E0,-1.971098423E0
4.216675944E0,5.866924286E0,3.960325718E0,-1.616000056E0
4.232675944E0,8.318854332E0,3.340150833E0,-1.821556568E0
4.248675944E0,1.062731552E1,6.101000309E-1,-3.198653460E-1
4.264675944E0,1.275329018E1,-3.326724052E0,2.816625118E0
4.280675944E0,1.420540237E1,-8.619691849E0,5.369131565E0
4.296675944E0,1.852312469E1,-1.039214706E1,5.357850075E0
4.312675944E0,1.959906006E1,-9.363166809E0,8.428710938E0
4.328675944E0,1.559406757E1,-8.642636299E0,8.766943932E0
4.344675944E0,1.278722095E1,-6.421229839E0,6.002005100E0
4.360675944E0,1.224610233E1,-4.056974888E0,4.787254333E0
4.376675944E0,1.281882381E1,-2.219472885E0,4.079480171E0
4.392675944E0,1.370263863E1,-1.246574640E0,2.528334379E0
4.408675944E0,1.349190140E1,3.666863441E-1,8.743624687E-1
4.424675944E0,1.133267593E1,2.057021379E0,-1.045116931E-1
4.440675944E0,7.185009003E0,3.995003223E0,-5.172625184E-1
4.456675944E0,2.561901093E0,5.448111534E0,-9.878763556E-1
4.472675944E0,1.062939286E0,5.706656456E0,-1.009835958E0
4.488675944E0,1.376761675E0,4.993978977E0,-4.523796141E-1
4.504675944E0,1.754528403E0,4.028656483E0,-3.839916289E-1
4.520675944E0,2.202253580E0,3.182114363E0,-4.918743670E-1
4.536675944E0,3.149610519E0,2.729504824E0,1.355309784E-1
4.552675944E0,3.739398241E0,2.388120413E0,5.881692171E-1
4.568675944E0,3.564296007E0,1.956532121E0,5.340506434E-1
4.584675944E0,2.713339090E0,1.470643163E0,5.816952586E-1
4.600675944E0,1.877523422E0,1.028118014E0,8.933244944E-1
4.616675944E0,1.465826035E0,6.927574277E-1,6.628587246E-1
4.632675944E0,1.718117476E0,5.320107341E-1,-2.638410218E-2
4.648675944E0,2.365864038E0,2.259456068E-1,-4.573020935E-1
4.664675944E0,2.570462942E0,-4.626459777E-1,-3.826413155E-1
4.680675944E0,2.105576038E0,-5.519113541E-1,-6.211229563E-1
4.696675944E0,1.522396207E0,1.513719559E0,-1.601625234E-1
4.712675944E0,-2.096363008E-1,7.033886909E0,1.587700486E0
4.728675944E0,-7.118248940E-1,1.727999878E1,6.817154408E0
4.744675944E0,1.021059990E0,2.695204544E1,1.026844311E1
4.760675944E0,4.417905331E0,2.182239342E1,9.867443085E0
