"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.784237929E0,1.419445515E0,-8.687705994E0,7.100254059E0
2.800237929E0,9.881157875E-1,-5.414803028E0,3.889457226E0
2.816237929E0,-6.194278598E-2,-2.398501635E0,1.648101449E0
2.832237929E0,-7.771961689E-1,3.295283616E-1,-1.855985075E-2
2.848237929E0,-1.015342593E0,2.177335024E0,-8.499224186E-1
2.864237929E0,-8.359211683E-1,2.579828739E0,-1.298586249E0
2.880237929E0,-7.429973483E-1,1.815379500E0,-1.789799809E0
2.896237929E0,-7.204632163E-1,1.070533872E0,-1.900220513E0
2.912237929E0,-6.979289651E-1,1.217987895E0,-1.583745241E0
2.928237929E0,-6.615083814E-1,1.805678248E0,-1.048842311E0
2.944237929E0,-8.074110150E-1,2.531695843E0,-1.113533735E0
2.960237929E0,-9.586766958E-1,2.790997505E0,-1.257549644E0
2.976237929E0,-9.195266962E-1,2.665704012E0,-1.352417469E0
2.992237929E0,-5.238896608E-1,2.788383007E0,-1.541281700E0
3.008237929E0,1.044254974E-1,3.155174732E0,-1.487220526E0
3.024237929E0,8.564538360E-1,3.532845736E0,-1.083472013E0
3.040237929E0,1.708186269E0,3.313287735E0,-3.422846496E-1
3.056237929E0,2.289096117E0,2.301182032E0,3.247782588E-1
3.072237929E0,2.748103142E0,9.469738007E-1,1.559688330E0
3.088237929E0,3.056514502E0,6.775399446E-1,3.103038549E0
3.104237929E0,4.292640686E0,1.520394683E0,6.389616489E0
3.120237929E0,6.302228451E0,2.966885328E0,7.790579319E0
3.136237929E0,9.836530685E0,5.068515778E0,1.070241737E1
3.152237929E0,1.479831123E1,4.017374992E0,1.300782204E1
3.168237929E0,1.599894619E1,3.729830980E0,1.472083473E1
3.184237929E0,1.855997658E1,5.573921680E0,1.688937950E1
3.200237929E0,2.039858055E1,7.475214958E0,1.844043732E1
3.216237929E0,2.514064980E1,8.150753021E0,1.904447746E1
3.232237929E0,2.893276978E1,8.723187447E0,1.894765472E1
3.248237929E0,3.083173370E1,8.997323990E0,1.785126305E1
3.264237929E0,2.988070107E1,9.325147629E0,1.694019318E1
3.280237929E0,2.798657036E1,8.412190437E0,1.546615982E1
3.296237929E0,2.607982826E1,7.387251854E0,1.334434223E1
3.312237929E0,2.326500320E1,6.371717930E0,1.176657200E1
3.328237929E0,2.014014816E1,5.623903275E0,1.017625809E1
3.344237929E0,1.568483734E1,2.969518900E0,7.293571949E0
3.360237929E0,1.148305035E1,1.743266135E-1,4.533181667E0
3.376237929E0,7.677180290E0,-5.236406326E-1,3.118639231E0
3.392237929E0,4.365931988E0,6.371641159E-1,2.364829540E0
3.408237929E0,2.066885471E0,2.287152052E0,1.969681025E0
3.424237929E0,9.269773960E-1,3.893383741E0,1.523497581E0
3.440237929E0,5.101085901E-1,4.791400909E0,1.068187475E0
3.456237929E0,3.698275387E-1,4.352792740E0,8.388324976E-1
3.472237929E0,3.997933567E-1,3.588611603E0,3.636026382E-1
3.488237929E0,4.122719467E-1,3.148461342E0,-2.691753209E-1
3.504237929E0,2.947358191E-1,2.818205357E0,-1.158736229E0
3.520237929E0,6.223009154E-2,2.441520691E0,-2.099417925E0
3.536237929E0,-5.616605878E-1,1.940902710E0,-2.536034107E0
3.552237929E0,-1.056953907E0,1.699931026E0,-1.903371215E0
